ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
54 PFT54clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
55 PFT55clonal1 100 0.05 1 1 5000 1 0.1 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
56 PFT56clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
57 PFT57clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
58 PFT58clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
59 PFT59clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
60 PFT60clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
61 PFT61clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
62 PFT62clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
63 PFT63clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
64 PFT64clonal1 100 0.05 1 1 5000 1 0.1 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
65 PFT65clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
66 PFT66clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
67 PFT67clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
68 PFT68clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
69 PFT69clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
70 PFT70clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
71 PFT71clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
72 PFT72clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
