ID Species AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
276 PFT33clonal4 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
279 PFT36clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
288 PFT45clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
291 PFT48clonal4 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
293 PFT50clonal4 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
294 PFT51clonal4 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
297 PFT54clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
306 PFT63clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
320 PFT77clonal4 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
652 PFT4 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 0
654 PFT6 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 0
656 PFT8 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 0
657 PFT9 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 0
661 PFT13 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
662 PFT14 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
663 PFT15 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
671 PFT23 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 0 0 0 0 0 0 0
674 PFT26 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 0 0 0 0 0 0 0
678 PFT30 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 0
681 PFT33 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 0
683 PFT35 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 0
684 PFT36 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 0
687 PFT39 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 0
689 PFT41 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 0
690 PFT42 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 0
693 PFT45 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 0
696 PFT48 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 0 0 0 0 0 0 0
699 PFT51 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 0 0 0 0 0 0 0
707 PFT59 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 0
708 PFT60 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 0
710 PFT62 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 0
711 PFT63 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 0
729 PFT81 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 0 0 0 0 0 0 0
