Sim	Run	Time	Inds	seeds	cover	rootmass	shootmass	PFT	monoculture	invader	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer	
1	0	1	1	0	0.0322	2323.52	402.706	28	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0236	2075.87	812.938	29	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.014	1996.95	865.8	30	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	4	0	0.0828333	8363.98	1133.06	31	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	3	0	0.0350667	5685.66	2850.88	33	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0194	2397.35	459.767	34	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0652333	5550.92	1099.2	4	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	3	0	0.0427667	2641.06	848.555	40	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0247333	1802.85	859.543	41	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0150667	1522.12	1529.48	42	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.00973333	967.335	387.29	44	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0058	486.58	454.638	45	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	3	0	0.0246667	1324.95	568.93	49	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0229333	2220.77	1465.46	5	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0094	527.535	251.406	50	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0153667	968.267	675.12	53	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0072	507.495	290.418	54	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0201	2105.57	486.313	56	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0115333	2138.35	275.488	58	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0324667	4397.06	1239.93	59	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0224	4138.3	1331.86	60	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	4	0	0.0324	7808.07	995.297	61	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
